subhalo_id,subhalo_flag,logmass,logmass0,logmass1,logmass4,SubhaloCM_x,SubhaloCM_y,SubhaloCM_z,SubhaloVel_x,SubhaloVel_y,SubhaloVel_z,SubhaloHalfmassRad,MassInMaxRad,SubhaloVmax,SubhaloVmaxRad
371126,1,12.686411999999999,11.457811999999999,12.633488999999999,11.431174,9102.123047,24941.005859,17691.880859,-166.654617,-189.819199,328.44577000000004,100.66584,10.614803,342.283783,1.064782
371127,1,11.843637,10.466127,11.769929,10.900447,9115.577148,24987.300781,17435.193359,-143.169937,-304.128967,382.374023,22.923885000000002,10.407813,247.47522,1.264678
371128,1,11.360996,9.87923,11.311867,10.228591,9316.764648,25175.808594,17690.572266,-228.827698,-191.830261,467.27105700000004,15.89996,10.229984,177.497772,1.632412
372754,1,12.695107,11.123975,12.666484,11.261194999999999,34923.933594,5221.363281,21462.246094,101.929924,-78.394547,81.072479,106.715958,10.707460000000001,403.102325,0.950305
372755,1,12.047864,10.91491,11.985652,10.824007,57.636433,4904.398926,21909.265625,-17.64678,87.280624,-43.414429,48.938351000000004,11.314786999999999,216.58779900000002,13.327534
375073,1,12.717464999999999,11.478703999999999,12.675203999999999,11.260900999999999,22546.773438,7669.521484000001,27744.210938,-17.316088,-118.779495,162.161499,125.01226000000001,10.74799,418.824341,0.966398
375074,1,11.283314,10.240505,11.211044000000001,10.079686,22534.681641,7428.012206999999,27815.048827999995,-32.121761,-37.319561,30.133118,17.400126,10.617992999999998,137.80508400000002,6.617478
377655,1,12.446745,11.046764,12.410233999999999,11.056607000000001,19662.988281,20449.115234,19369.878906,-74.387642,83.785278,-29.447538,119.15428899999999,10.32623,286.7742,0.780512
377656,1,11.860534,10.40966,11.791546,10.906032000000002,19622.478516,20336.685547,19445.539062,-36.705505,44.570282,-184.07865900000002,24.069101,10.407646000000002,314.73877000000005,0.781583
377657,1,11.797052,10.634023,11.748275999999999,10.370156,19048.412109,20502.494141,19140.863281,131.944763,233.19129900000001,59.328419,42.134128999999994,10.064751,176.94941699999998,1.122757
377658,1,11.646589,10.466686,11.593406,10.336549,19468.929688,20580.484375,19044.154297,-109.95191200000001,190.915649,79.338287,32.097424,10.01576,189.568405,0.873893
377659,1,11.24494,10.300948,11.170367,9.887822,19850.007812,20356.349609,19293.789062,-88.61455500000001,-136.88597099999998,-99.833481,18.190835999999997,10.819028,122.807594,13.237542000000001
379803,1,12.724407000000001,11.212612,12.696334,11.226272,6109.681640999999,6889.222656,31262.867188,47.382214000000005,-57.214649,59.561726,111.952805,10.78331,423.40646399999997,1.025711
379804,1,11.362079,10.460114,11.263659,10.250160000000001,5882.435059,6912.771973000001,31057.759766000003,131.45834399999998,-11.814876,20.852251000000003,16.554249,11.025827,145.388199,15.205419000000001
379805,1,11.294362,10.052264,11.209813,10.370405,6173.236328,7004.808105,31260.128906,-227.10791,-177.288116,-153.516602,12.060367999999999,9.91843,198.176514,0.639081
379808,1,10.425038,9.608943,10.350439999999999,8.132924000000001,5954.081055,6892.267578,31307.03125,109.374191,-215.91517599999997,416.149902,13.559110999999998,10.273952,55.879509,18.225817000000003
